Designator,Mid X,Mid Y,Rotation,Layer
AE1,51.0,48.25,0.0,top
BZ1,32.5,3.5,180.0,top
C1,31.265,17.83,270.0,top
C10,37.515,17.25,180.0,top
C11,17.75,32.75,180.0,top
C12,16.49,24.25,180.0,top
C13,19.75,32.75,0.0,top
C14,27.765,13.58,270.0,top
C16,29.765,13.58,270.0,top
C17,31.765,13.58,270.0,top
C18,50.5,36.0,180.0,top
C19,50.5,32.0,180.0,top
C2,29.265,17.83,270.0,top
C20,26.115,8.82,90.0,top
C21,26.115,10.8,90.0,top
C22,44.75,41.25,180.0,top
C23,45.75,38.25,0.0,top
C24,47.25,39.75,90.0,top
C25,42.75,40.75,0.0,top
C26,12.75,5.75,180.0,top
C27,42.75,39.75,0.0,top
C28,39.415,28.85,180.0,top
C29,44.25,39.25,90.0,top
C3,32.765,17.83,270.0,top
C30,37.73,33.75,180.0,top
C31,47.5,31.5,270.0,top
C32,32.613859,33.605578,270.0,top
C33,48.0,36.25,0.0,top
C34,33.25,38.5,0.0,top
C35,18.0,11.5,180.0,top
C36,16.0,11.5,180.0,top
C37,16.75,5.0,180.0,top
C38,18.5,4.5,270.0,top
C39,17.75,15.75,180.0,top
C4,37.515,18.25,180.0,top
C40,20.5,4.5,270.0,top
C41,42.75,10.25,0.0,top
C42,44.73,10.25,0.0,top
C43,44.5,16.75,0.0,top
C44,43.0,17.25,90.0,top
C45,42.0,5.25,0.0,top
C46,41.25,17.25,90.0,top
C5,13.99,24.25,0.0,top
C6,15.74,30.75,180.0,top
C7,15.76,28.75,180.0,top
C8,15.74,26.75,180.0,top
C9,15.24,25.25,180.0,top
D1,33.25,23.5,90.0,top
D10,27.99,27.25,180.0,top
D11,28.49,23.75,270.0,top
D12,26.5,33.5,180.0,top
D13,36.75,8.75,90.0,top
D14,46.75,1.25,0.0,top
D15,13.5,2.25,180.0,top
D3,36.0,40.25,0.0,top
D4,31.015,40.75,180.0,top
D5,30.25,35.5,90.0,top
D6,34.25,40.25,180.0,top
D8,46.75,27.425,270.0,top
D9,24.765,16.1,270.0,top
J1,9.25,27.5,270.0,top
J2,35.265,46.66,180.0,top
J3,18.015,41.9,0.0,top
J4,27.515,44.58,180.0,top
J5,41.73,23.25,180.0,top
L1,35.765,14.25,180.0,top
L2,47.965,35.25,0.0,top
L3,47.25,48.25,180.0,top
L5,45.25,39.75,270.0,top
L6,42.75,38.75,0.0,top
M1,49.115,24.89,0.0,top
M2,9.195,13.25,270.0,top
M3,48.805,13.75,90.0,top
Q1,19.9325,22.0,0.0,top
Q2,25.0475,22.0,180.0,top
Q3,26.5,2.75,270.0,top
R1,15.74,29.75,0.0,top
R10,38.015,19.75,90.0,top
R11,37.015,19.75,270.0,top
R12,2.425,35.5,180.0,top
R13,18.74,24.5,180.0,top
R14,25.0,29.5,270.0,top
R15,20.75,24.5,180.0,top
R16,33.25,10.25,0.0,top
R17,33.25,8.25,0.0,top
R18,24.99,27.25,270.0,top
R19,25.74,24.5,0.0,top
R2,15.74,27.75,0.0,top
R20,25.49,25.75,0.0,top
R21,26.5,5.25,0.0,top
R22,27.99,29.0,0.0,top
R23,26.5,35.0,180.0,top
R24,44.25,48.25,180.0,top
R25,35.25,8.5,90.0,top
R26,46.74,2.5,0.0,top
R27,47.25,37.75,90.0,top
R28,12.75,4.5,180.0,top
R29,15.0,4.75,90.0,top
R3,38.01,40.75,180.0,top
R30,48.0,33.25,180.0,top
R31,33.5,27.5,0.0,top
R32,37.5,31.25,180.0,top
R33,37.5,32.25,180.0,top
R34,28.04,7.25,180.0,top
R35,30.075,7.25,0.0,top
R36,19.5,4.5,270.0,top
R37,21.5,5.5,90.0,top
R38,45.25,19.51,270.0,top
R39,40.265,17.25,90.0,top
R4,32.5,40.0,90.0,top
R40,25.99,29.5,90.0,top
R5,15.74,31.75,180.0,top
R6,13.99,23.25,0.0,top
R7,15.75,32.75,0.0,top
R8,15.24,21.5,0.0,top
R9,16.49,23.25,180.0,top
SW1,2.5,39.52,0.0,top
SW2,8.0,39.5,90.0,top
SW3,33.25,29.75,180.0,top
SW4,50.75,38.5,180.0,top
U1,35.025,18.0,0.0,top
U2,20.6275,28.75,270.0,top
U3,29.5,9.25,0.0,top
U4,42.75,33.5,0.0,top
U5,33.265,36.25,180.0,top
U6,18.25,8.25,0.0,top
U7,42.5,13.5,180.0,top
Y1,50.5,34.0,270.0,top
